inst_code,inst_name,type,DIST,PLACE,COED,branch_ code,OC_BO YS,OC_GIR LS,SC_BOY S,SC_GIR LS,ST_BOY S,ST_GIR LS,BCA_B OYS,BCA_GI RLS,BCB_B OYS,BCB_GI RLS,BCC_B OYS,BCC_GI RLS,BCD_B OYS,BCD_GI RLS,BCE_B OYS,BCE_GI RLS,OC_EWS_B OYS,OC_EWS_GI RLS,Year
ADTP,ADITYA ENGINEERING COLLEGE,PVT,EG,PEDDAPURAM,COED,INF,39453.0,40447.0,39453.0,41162.0,39453.0,121267.0,115217.0,119523.0,66347.0,66347.0,39453.0,40447.0,56924.0,56924.0,126305.0,126305.0,42473.0,40223.0,2019.0
ADTP,ADITYA ENGINEERING COLLEGE,PVT,EG,PEDDAPURAM,COED,MEC,117240.0,117240.0,121689.0,128223.0,117240.0,117240.0,127639.0,127639.0,129328.0,129328.0,117240.0,117240.0,128046.0,128046.0,117240.0,117240.0,125211.0,55302.0,2019.0
ADTP,ADITYA ENGINEERING COLLEGE,PVT,EG,PEDDAPURAM,COED,MIN,127709.0,127709.0,127709.0,127709.0,127709.0,127709.0,127709.0,127709.0,127709.0,127709.0,127709.0,127709.0,127709.0,127709.0,127709.0,127709.0,112355.0,85987.0,2019.0
ADTP,ADITYA ENGINEERING COLLEGE,PVT,EG,PEDDAPURAM,COED,PET,117195.0,117195.0,129288.0,129288.0,117195.0,117195.0,117195.0,117195.0,117195.0,117195.0,117195.0,117195.0,117195.0,117195.0,117195.0,117195.0,107439.0,153943.0,2019.0
AECN,ANDHRA ENGINEERING COLLEGE,PVT,NLR,ATMAKUR N,COED,CSE,118510.0,118510.0,129849.0,129849.0,122565.0,123712.0,127141.0,127141.0,126573.0,126573.0,118510.0,118510.0,123492.0,123492.0,122635.0,122635.0,115774.0,73225.0,2019.0
AECN,ANDHRA ENGINEERING COLLEGE,PVT,NLR,ATMAKUR N,COED,ECE,103804.0,103804.0,120954.0,120954.0,111241.0,116216.0,103804.0,103804.0,103804.0,103804.0,103804.0,103804.0,103804.0,119842.0,103804.0,103804.0,132429.0,107606.0,2019.0
AIME,"AMALAPURAM INST OF MGMT SCI COLL
OF ENGG",PVT,EG,MUMMIDIVARAM,COED,CIV,127942.0,127942.0,129823.0,129823.0,127942.0,127942.0,127942.0,127942.0,127942.0,127942.0,127942.0,127942.0,127942.0,127942.0,127942.0,127942.0,104696.0,85987.0,2019.0
AIME,"AMALAPURAM INST OF MGMT SCI COLL
OF ENGG",PVT,EG,MUMMIDIVARAM,COED,CSE,119735.0,119735.0,130013.0,130205.0,120981.0,120981.0,130294.0,130294.0,120612.0,120612.0,119735.0,119735.0,119735.0,128433.0,119735.0,128515.0,115836.0,101920.0,2019.0
AIME,"AMALAPURAM INST OF MGMT SCI COLL
OF ENGG",PVT,EG,MUMMIDIVARAM,COED,ECE,119343.0,119343.0,127659.0,130411.0,128959.0,128959.0,119343.0,127489.0,119343.0,119343.0,119343.0,119343.0,119343.0,119343.0,119343.0,119343.0,108897.0,113903.0,2019.0
AIME,"AMALAPURAM INST OF MGMT SCI COLL
OF ENGG",PVT,EG,MUMMIDIVARAM,COED,EEE,115925.0,115925.0,121760.0,121760.0,115925.0,115925.0,115925.0,115925.0,115925.0,115925.0,115925.0,115925.0,115925.0,115925.0,115925.0,115925.0,104696.0,85987.0,2019.0
AIME,"AMALAPURAM INST OF MGMT SCI COLL
OF ENGG",PVT,EG,MUMMIDIVARAM,COED,MEC,126944.0,126944.0,128532.0,128532.0,126944.0,126944.0,126944.0,126944.0,126944.0,126944.0,126944.0,126944.0,126944.0,126944.0,126944.0,126944.0,104696.0,85987.0,2019.0
AITK,ANNAMACHARYA INST OF TECH AND SCI,PVT,KDP,KADAPA,COED,CIV,126817.0,126817.0,126817.0,126817.0,126817.0,126817.0,126817.0,126817.0,126817.0,126817.0,126817.0,126817.0,126817.0,126817.0,126817.0,126817.0,104696.0,85987.0,2019.0
AITK,ANNAMACHARYA INST OF TECH AND SCI,PVT,KDP,KADAPA,COED,CSE,85500.0,113649.0,121630.0,124075.0,106122.0,113649.0,127663.0,128361.0,124557.0,128185.0,85500.0,113649.0,124115.0,124115.0,95009.0,113649.0,113247.0,103043.0,2019.0
AITK,ANNAMACHARYA INST OF TECH AND SCI,PVT,KDP,KADAPA,COED,ECE,108906.0,124901.0,108906.0,124901.0,108906.0,124901.0,118317.0,124901.0,118728.0,125235.0,108906.0,124901.0,118013.0,124901.0,124906.0,126233.0,98529.0,124449.0,2019.0
AITK,ANNAMACHARYA INST OF TECH AND SCI,PVT,KDP,KADAPA,COED,EEE,53264.0,117615.0,121239.0,121239.0,53264.0,117615.0,82045.0,117615.0,53264.0,117615.0,53264.0,117615.0,53264.0,117615.0,53264.0,117615.0,114581.0,85987.0,2019.0
AITK,ANNAMACHARYA INST OF TECH AND SCI,PVT,KDP,KADAPA,COED,MEC,127838.0,127838.0,127838.0,127838.0,127838.0,127838.0,127838.0,127838.0,127838.0,127838.0,127838.0,127838.0,127838.0,127838.0,127838.0,127838.0,64826.0,85987.0,2019.0
AITS,"ANNAMACHARYA INST OF TECHNOLOGY
AND SCIENCES",PVT,KDP,RAJAMPETA,COED,CIV,91832.0,95476.0,129489.0,129489.0,123706.0,123706.0,120792.0,120792.0,91832.0,99831.0,91832.0,95476.0,112964.0,112964.0,116923.0,116923.0,110053.0,100762.0,2019.0
AITS,"ANNAMACHARYA INST OF TECHNOLOGY
AND SCIENCES",PVT,KDP,RAJAMPETA,COED,CSE,36902.0,36902.0,127434.0,127434.0,120009.0,129250.0,44299.0,105559.0,50171.0,60352.0,72235.0,72235.0,72363.0,72730.0,50423.0,50423.0,37863.0,28614.0,2019.0
AITS,"ANNAMACHARYA INST OF TECHNOLOGY
AND SCIENCES",PVT,KDP,RAJAMPETA,COED,ECE,41761.0,41761.0,127366.0,127687.0,118628.0,118628.0,53754.0,59922.0,64667.0,84833.0,41761.0,70516.0,80534.0,80534.0,57934.0,74953.0,43482.0,38021.0,2019.0
AITS,"ANNAMACHARYA INST OF TECHNOLOGY
AND SCIENCES",PVT,KDP,RAJAMPETA,COED,EEE,83342.0,83342.0,129202.0,129202.0,98640.0,98640.0,126831.0,126831.0,122810.0,122810.0,103748.0,103748.0,127900.0,127900.0,94593.0,127957.0,114578.0,123286.0,2019.0
