INST_CODE,INST_NAME,BRANCH_CODE,DISTRICT,COED,AFFLIATED,COLLEGE_FEE,CUTOFF,CATEGORY,GENDER,YEAR
ISTS,INTERNATIONAL SCHOOL OF TECH AND SCI FOR WOMEN,AGR,EAST GODAVARI,GIRLS,JNTUK,39000.0,164724.0,OC,BOYS,2022
ISTS,INTERNATIONAL SCHOOL OF TECH AND SCI FOR WOMEN,AIM,EAST GODAVARI,GIRLS,JNTUK,39000.0,135322.0,OC,BOYS,2022
ISTS,INTERNATIONAL SCHOOL OF TECH AND SCI FOR WOMEN,CAI,EAST GODAVARI,GIRLS,JNTUK,39000.0,114832.0,OC,BOYS,2022
ISTS,INTERNATIONAL SCHOOL OF TECH AND SCI FOR WOMEN,CSE,EAST GODAVARI,GIRLS,JNTUK,39000.0,105949.0,OC,BOYS,2022
ISTS,INTERNATIONAL SCHOOL OF TECH AND SCI FOR WOMEN,ECE,EAST GODAVARI,GIRLS,JNTUK,39000.0,106791.0,OC,BOYS,2022
JNKFSF,SCHOOL OF FOOD TECHNOLOGY JNTUK KAKINADA-SELF FINANCE,FDE,EAST GODAVARI,COED,JNTUK,45000.0,155967.0,OC,BOYS,2022
JNTK,JNTUK COLLEGE OF ENGG. KAKINADA,CIV,EAST GODAVARI,COED,JNTUK,10000.0,21143.0,OC,BOYS,2022
JNTK,JNTUK COLLEGE OF ENGG. KAKINADA,CSE,EAST GODAVARI,COED,JNTUK,10000.0,3213.0,OC,BOYS,2022
JNTK,JNTUK COLLEGE OF ENGG. KAKINADA,ECE,EAST GODAVARI,COED,JNTUK,10000.0,5472.0,OC,BOYS,2022
JNTK,JNTUK COLLEGE OF ENGG. KAKINADA,EEE,EAST GODAVARI,COED,JNTUK,10000.0,14652.0,OC,BOYS,2022
JNTK,JNTUK COLLEGE OF ENGG. KAKINADA,MEC,EAST GODAVARI,COED,JNTUK,10000.0,12686.0,OC,BOYS,2022
JNTKSF,JNTUK COLLEGE OF ENGG. KAKINADA- SELF FINANCE,CHE,EAST GODAVARI,COED,JNTUK,45000.0,48270.0,OC,BOYS,2022
JNTKSF,JNTUK COLLEGE OF ENGG. KAKINADA- SELF FINANCE,PEE,EAST GODAVARI,COED,JNTUK,45000.0,166686.0,OC,BOYS,2022
KCPT,KORINGA COLLEGE OF PHARMACY,PHD,EAST GODAVARI,COED,JNTUK,35000.0,169131.0,OC,BOYS,2022
KIEK,KAKINADA INSTITUTE OF ENGG. AND TECHNOLOGY,AID,EAST GODAVARI,COED,JNTUK,35000.0,156805.0,OC,BOYS,2022
KIEK,KAKINADA INSTITUTE OF ENGG. AND TECHNOLOGY,CAI,EAST GODAVARI,COED,JNTUK,35000.0,157986.0,OC,BOYS,2022
KIEK,KAKINADA INSTITUTE OF ENGG. AND TECHNOLOGY,CSC,EAST GODAVARI,COED,JNTUK,35000.0,117994.0,OC,BOYS,2022
KIEK,KAKINADA INSTITUTE OF ENGG. AND TECHNOLOGY,CSD,EAST GODAVARI,COED,JNTUK,35000.0,163199.0,OC,BOYS,2022
